benchmark,tier,method,seed,instance_id,eval_mode,solved,steps,optimal_steps,rollouts_to_solve,final_entropy,provenance
tangram,hard,cnn,0,hard_fixed,greedy,,,,,,missing
tangram,hard,cnn,0,hard_fixed,stochastic,,,,,,missing
tangram,hard,cnn,1,hard_fixed,greedy,,,,,,missing
tangram,hard,cnn,1,hard_fixed,stochastic,,,,,,missing
tangram,hard,cnn,2,hard_fixed,greedy,,,,,,missing
tangram,hard,cnn,2,hard_fixed,stochastic,,,,,,missing
tangram,hard,gnn,0,hard_fixed,greedy,0,,,,2.5664,trusted
tangram,hard,gnn,0,hard_fixed,stochastic,1,101.2,,,2.5664,trusted
tangram,hard,gnn,1,hard_fixed,greedy,0,,,,2.8105,trusted
tangram,hard,gnn,1,hard_fixed,stochastic,1,102.8,,,2.8105,trusted
tangram,hard,gnn,2,hard_fixed,greedy,0,,,,2.3806,trusted
tangram,hard,gnn,2,hard_fixed,stochastic,1,122.0,,,2.3806,trusted
tangram,hard,hrep,0,hard_fixed,greedy,1,46.0,,,1.4269,trusted
tangram,hard,hrep,0,hard_fixed,stochastic,1,46.7,,,1.4269,trusted
tangram,hard,hrep,1,hard_fixed,greedy,1,46.0,,,1.4192,trusted
tangram,hard,hrep,1,hard_fixed,stochastic,1,46.2,,,1.4192,trusted
tangram,hard,hrep,2,hard_fixed,greedy,1,46.0,,,1.3272,trusted
tangram,hard,hrep,2,hard_fixed,stochastic,1,46.6,,,1.3272,trusted
tangram,hard,mlp,0,hard_fixed,greedy,1,46.0,,,1.0679,trusted
tangram,hard,mlp,0,hard_fixed,stochastic,1,46.3,,,1.0679,trusted
tangram,hard,mlp,1,hard_fixed,greedy,1,46.0,,,1.2203,trusted
tangram,hard,mlp,1,hard_fixed,stochastic,1,46.4,,,1.2203,trusted
tangram,hard,mlp,2,hard_fixed,greedy,1,46.0,,,1.1550,trusted
tangram,hard,mlp,2,hard_fixed,stochastic,1,46.2,,,1.1550,trusted
tangram,hard,vrep,0,hard_fixed,greedy,1,46.0,,,1.2207,trusted
tangram,hard,vrep,0,hard_fixed,stochastic,1,46.5,,,1.2207,trusted
tangram,hard,vrep,1,hard_fixed,greedy,1,46.0,,,1.3863,trusted
tangram,hard,vrep,1,hard_fixed,stochastic,1,46.6,,,1.3863,trusted
tangram,hard,vrep,2,hard_fixed,greedy,1,46.0,,,1.2356,trusted
tangram,hard,vrep,2,hard_fixed,stochastic,1,46.7,,,1.2356,trusted
